Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
11 5 -6.0670075 0.0 -26.8899 6.27735 -10.5885 243.255 -1619.2 242.674 -1611.56 0.0 242.674 -1611.56 22.026 -26.8899 -1373.75 21.6402 21.6402
11 6 -5.6416073 0.0 -20.4777 6.29256 -10.6369 243.255 -1619.2 242.638 -1614.49 0.0 242.638 -1614.49 21.9703 -20.4777 -1370.3594 24.055 24.055
12 0 -5.991293 0.0 -19.2906 6.23964 -10.527 243.255 -1619.2 244.229 -1624.47 0.0 244.229 -1624.47 22.0042 -19.2906 -1377.5273 26.6769 26.6769
12 1 -5.991293 0.0 -19.2906 6.23964 -10.527 243.255 -1619.2 244.229 -1624.47 0.0 244.229 -1624.47 22.0042 -19.2906 -1377.5273 26.6769 26.6769
12 2 -5.991293 0.0 -19.2906 6.23964 -10.527 243.255 -1619.2 244.229 -1624.47 0.0 244.229 -1624.47 22.0042 -19.2906 -1377.5273 26.6769 26.6769
12 3 -5.995546 0.0 -19.3462 6.2385 -10.5305 243.255 -1619.2 244.191 -1624.4 0.0 244.191 -1624.4 22.0505 -19.3462 -1377.5046 26.6943 26.6943
12 4 -5.995546 0.0 -19.3462 6.2385 -10.5305 243.255 -1619.2 244.191 -1624.4 0.0 244.191 -1624.4 22.0505 -19.3462 -1377.5046 26.6943 26.6943
12 5 -5.995546 0.0 -19.3462 6.2385 -10.5305 243.255 -1619.2 244.191 -1624.4 0.0 244.191 -1624.4 22.0505 -19.3462 -1377.5046 26.6943 26.6943
12 6 -5.995546 0.0 -19.3462 6.2385 -10.5305 243.255 -1619.2 244.191 -1624.4 0.0 244.191 -1624.4 22.0505 -19.3462 -1377.5046 26.6943 26.6943
12 7 -5.9964113 0.0 -19.362 6.23733 -10.5283 243.255 -1619.2 244.172 -1624.36 0.0 244.172 -1624.36 22.0663 -19.362 -1377.4836 26.7089 26.7089
13 0 -6.242395 0.0 -25.9701 6.27034 -10.5603 243.255 -1619.2 242.842 -1616.09 0.0 242.842 -1616.09 21.8641 -25.9701 -1377.3539 21.315 21.315
13 1 -6.2374253 0.0 -26.3108 6.31536 -10.9269 243.255 -1619.2 242.862 -1615.81 0.0 242.862 -1615.81 22.3083 -26.3108 -1376.9504 22.195 22.195
13 2 -6.2344666 0.0 -26.2619 6.31036 -10.9334 243.255 -1619.2 242.861 -1615.85 0.0 242.861 -1615.85 22.3212 -26.2619 -1376.9297 22.1957 22.1957
13 3 -5.7075553 0.0 -18.6346 6.30787 -10.6424 243.255 -1619.2 242.749 -1618.57 0.0 242.749 -1618.57 22.2692 -18.6346 -1372.1863 26.2736 26.2736
13 4 -5.6315236 0.0 -18.4333 6.32953 -10.6319 243.255 -1619.2 242.623 -1617.4 0.0 242.623 -1617.4 22.2148 -18.4333 -1370.9955 26.6155 26.6155
14 0 -6.3968744 0.0 -28.0165 6.2678 -10.813 243.255 -1619.2 242.229 -1614.76 0.0 242.229 -1614.76 23.4533 -28.0165 -1377.0942 20.2443 20.2443
14 1 -6.370281 0.0 -27.916 6.26064 -10.8329 243.255 -1619.2 242.189 -1614.45 0.0 242.189 -1614.45 23.1844 -27.916 -1376.9926 20.2 20.2
15 0 -6.4069443 0.0 -30.2501 6.26354 -10.8527 243.255 -1619.2 242.159 -1611.41 0.0 242.159 -1611.41 22.6474 -30.2501 -1376.8538 18.0517 18.0517
15 1 -6.4035597 0.0 -30.2341 6.26338 -10.853 243.255 -1619.2 242.159 -1611.38 0.0 242.159 -1611.38 22.6392 -30.2341 -1376.8159 18.0527 18.0527
15 2 -6.377992 0.0 -29.9965 6.27124 -10.8527 243.255 -1619.2 242.148 -1611.3 0.0 242.148 -1611.3 22.6707 -29.9965 -1376.4779 18.1471 18.1471
15 3 -6.3984723 0.0 -30.6314 6.30146 -10.8831 243.255 -1619.2 242.454 -1611.11 0.0 242.454 -1611.11 22.8659 -30.6314 -1376.4215 19.6592 19.6592
15 4 -6.397175 0.0 -30.6447 6.30178 -10.8847 243.255 -1619.2 242.448 -1611.06 0.0 242.448 -1611.06 22.8568 -30.6447 -1376.3999 19.661 19.661
15 5 -6.0014706 0.0 -23.8011 6.30978 -11.6756 243.255 -1619.2 242.79 -1616.48 0.0 242.79 -1616.48 23.1467 -23.8011 -1374.3444 21.3914 21.3914
15 6 -6.051336 0.0 -25.4483 6.32577 -10.9268 243.255 -1619.2 242.722 -1613.87 0.0 242.722 -1613.87 22.4356 -25.4483 -1374.1606 21.2909 21.2909
15 7 -5.9841256 0.0 -23.7424 6.32293 -11.6831 243.255 -1619.2 242.703 -1616.14 0.0 242.703 -1616.14 23.2507 -23.7424 -1373.9287 21.3948 21.3948
16 0 -6.2826176 0.0 -26.682 6.38558 -10.9614 243.255 -1619.2 243.088 -1616.25 0.0 243.088 -1616.25 23.0233 -26.682 -1376.8207 21.4667 21.4667
16 1 -6.2826176 0.0 -26.682 6.38558 -10.9614 243.255 -1619.2 243.088 -1616.25 0.0 243.088 -1616.25 23.0233 -26.682 -1376.8207 21.4667 21.4667
16 2 -6.2826176 0.0 -26.682 6.38558 -10.9614 243.255 -1619.2 243.088 -1616.25 0.0 243.088 -1616.25 23.0233 -26.682 -1376.8207 21.4667 21.4667
16 3 -6.2826176 0.0 -26.682 6.38558 -10.9614 243.255 -1619.2 243.088 -1616.25 0.0 243.088 -1616.25 23.0233 -26.682 -1376.8207 21.4667 21.4667
16 4 -6.2804046 0.0 -26.6843 6.38378 -10.9599 243.255 -1619.2 243.074 -1616.19 0.0 243.074 -1616.19 22.9979 -26.6843 -1376.8024 21.4525 21.4525
16 5 -6.2804046 0.0 -26.6843 6.38378 -10.9599 243.255 -1619.2 243.074 -1616.19 0.0 243.074 -1616.19 22.9979 -26.6843 -1376.8024 21.4525 21.4525
16 6 -6.283478 0.0 -26.7508 6.38561 -10.9631 243.255 -1619.2 243.069 -1616.13 0.0 243.069 -1616.13 23.0246 -26.7508 -1376.7872 21.4465 21.4465
16 7 -6.283478 0.0 -26.7508 6.38561 -10.9631 243.255 -1619.2 243.069 -1616.13 0.0 243.069 -1616.13 23.0246 -26.7508 -1376.7872 21.4465 21.4465
17 0 -6.0703564 0.0 -23.2018 6.23448 -10.5316 243.255 -1619.2 244.301 -1619.84 0.0 244.301 -1619.84 22.1263 -23.2018 -1376.6144 25.6 25.6
17 1 -6.0703564 0.0 -23.2018 6.23448 -10.5316 243.255 -1619.2 244.301 -1619.84 0.0 244.301 -1619.84 22.1263 -23.2018 -1376.6144 25.6 25.6
17 2 -6.0785027 0.0 -23.2773 6.22108 -10.4991 243.255 -1619.2 244.298 -1619.84 0.0 244.298 -1619.84 22.2259 -23.2773 -1376.5934 25.6421 25.6421
17 3 -6.0785027 0.0 -23.2773 6.22108 -10.4991 243.255 -1619.2 244.298 -1619.84 0.0 244.298 -1619.84 22.2259 -23.2773 -1376.5934 25.6421 25.6421
17 4 -6.0785027 0.0 -23.2773 6.22108 -10.4991 243.255 -1619.2 244.298 -1619.84 0.0 244.298 -1619.84 22.2259 -23.2773 -1376.5934 25.6421 25.6421
17 5 -6.0785027 0.0 -23.2773 6.22108 -10.4991 243.255 -1619.2 244.298 -1619.84 0.0 244.298 -1619.84 22.2259 -23.2773 -1376.5934 25.6421 25.6421
17 6 -6.054156 0.0 -23.0771 6.22069 -10.5039 243.255 -1619.2 244.287 -1619.74 0.0 244.287 -1619.74 22.3046 -23.0771 -1376.2255 25.7197 25.7197
17 7 -6.054156 0.0 -23.0771 6.22069 -10.5039 243.255 -1619.2 244.287 -1619.74 0.0 244.287 -1619.74 22.3046 -23.0771 -1376.2255 25.7197 25.7197
18 0 -6.568263 0.0 -32.7365 6.44604 -10.9735 243.255 -1619.2 242.184 -1610.08 0.0 242.184 -1610.08 24.4726 -32.7365 -1376.1599 20.0766 20.0766
18 1 -6.1381016 0.0 -26.026 6.33146 -10.6701 243.255 -1619.2 243.143 -1614.78 0.0 243.143 -1614.78 22.3499 -26.026 -1375.3132 22.0069 22.0069
18 2 -6.795097 0.0 -36.8075 6.45232 -15.8542 243.255 -1619.2 242.181 -1612.36 0.0 242.181 -1612.36 31.8213 -36.8075 -1375.1652 21.4475 21.4475
18 3 -6.778633 0.0 -36.7667 6.44865 -15.9095 243.255 -1619.2 242.126 -1612.13 0.0 242.126 -1612.13 31.6996 -36.7667 -1375.0712 21.4137 21.4137
18 4 -6.058528 0.0 -25.5204 6.33339 -10.6781 243.255 -1619.2 243.223 -1614.39 0.0 243.223 -1614.39 22.2166 -25.5204 -1374.4708 22.747 22.747
18 5 -6.0441093 0.0 -25.9125 6.4215 -10.9151 243.255 -1619.2 243.023 -1613.34 0.0 243.023 -1613.34 23.3717 -25.9125 -1372.8578 23.6883 23.6883
18 6 -6.0018864 0.0 -24.9607 6.43324 -11.0089 243.255 -1619.2 243.122 -1614.35 0.0 243.122 -1614.35 23.6347 -24.9607 -1372.5541 23.9427 23.9427
18 7 -5.957799 0.0 -27.0402 6.33598 -10.9615 243.255 -1619.2 242.528 -1609.6 0.0 242.528 -1609.6 22.6453 -27.0402 -1371.4669 23.4896 23.4896
19 0 -6.1153865 0.0 -23.7126 6.33589 -10.8997 243.255 -1619.2 242.957 -1617.92 0.0 242.957 -1617.92 22.688 -23.7126 -1375.9877 21.9351 21.9351
19 1 -6.0462837 0.0 -22.9856 6.3362 -10.9035 243.255 -1619.2 242.913 -1617.85 0.0 242.913 -1617.85 22.6584 -22.9856 -1375.2642 21.9326 21.9326
19 2 -6.0074687 0.0 -22.9749 6.31242 -10.8874 243.255 -1619.2 242.937 -1617.29 0.0 242.937 -1617.29 22.4268 -22.9749 -1374.9011 21.8699 21.8699
19 3 -6.00097 0.0 -22.656 6.32959 -10.9005 243.255 -1619.2 242.896 -1617.6 0.0 242.896 -1617.6 22.5608 -22.656 -1374.7992 21.8949 21.8949
19 4 -6.109933 0.0 -23.8176 6.32646 -10.6354 243.255 -1619.2 242.796 -1617.17 0.0 242.796 -1617.17 23.6363 -23.8176 -1374.5553 23.9894 23.9894
19 5 -6.093893 0.0 -25.4317 6.31818 -10.9044 243.255 -1619.2 242.987 -1614.99 0.0 242.987 -1614.99 22.9211 -25.4317 -1374.5137 21.8829 21.8829
19 6 -6.08583 0.0 -23.5556 6.31282 -10.6191 243.255 -1619.2 242.818 -1617.22 0.0 242.818 -1617.22 23.4493 -23.5556 -1374.5083 23.9856 23.9856
19 7 -6.1122212 0.0 -23.8679 6.32979 -10.6355 243.255 -1619.2 242.793 -1617.12 0.0 242.793 -1617.12 23.7001 -23.8679 -1374.4949 23.9956 23.9956
20 0 -6.1981373 0.0 -27.4077 6.31897 -10.946 243.255 -1619.2 243.298 -1614.16 0.0 243.298 -1614.16 22.4295 -27.4077 -1375.8402 23.4654 23.4654
20 1 -6.19662 0.0 -27.4361 6.31618 -10.9434 243.255 -1619.2 243.296 -1614.09 0.0 243.296 -1614.09 22.4068 -27.4361 -1375.8232 23.4585 23.4585
20 2 -6.201305 0.0 -27.5331 6.32669 -10.9553 243.255 -1619.2 243.314 -1614.04 0.0 243.314 -1614.04 22.4973 -27.5331 -1375.7618 23.5037 23.5037
21 0 -6.288949 0.0 -28.6319 6.39957 -10.8929 243.255 -1619.2 243.192 -1613.41 0.0 243.192 -1613.41 23.0335 -28.6319 -1375.8164 24.6168 24.6168
21 1 -5.9887385 0.0 -24.8994 6.37186 -11.0068 243.255 -1619.2 242.868 -1613.93 0.0 242.868 -1613.93 23.771 -24.8994 -1372.1904 27.2646 27.2646
22 0 -6.5512967 0.0 -35.6832 6.26646 -10.5768 243.255 -1619.2 241.732 -1604.43 0.0 241.732 -1604.43 22.6403 -35.6832 -1375.741 14.5817 14.5817
22 1 -6.791937 0.0 -43.2461 6.23277 -10.884 243.255 -1619.2 241.382 -1596.49 0.0 241.382 -1596.49 22.6243 -43.2461 -1375.7299 12.5989 12.5989
