Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
12 3 -5.7726684 0.0 -18.5183 6.25596 -10.5703 243.255 -1619.2 243.343 -1620.74 0.0 243.343 -1620.74 21.9891 -18.5183 -1373.9261 27.7734 27.7734
12 4 -5.873342 0.0 -20.9264 6.26485 -10.5635 243.255 -1619.2 242.727 -1617.69 0.0 242.727 -1617.69 22.049 -20.9264 -1373.8403 26.8044 26.8044
12 5 -5.77349 0.0 -18.5261 6.25978 -10.5773 243.255 -1619.2 243.225 -1620.56 0.0 243.225 -1620.56 22.0304 -18.5261 -1373.8308 27.6779 27.6779
12 6 -5.768361 0.0 -18.4623 6.25845 -10.5718 243.255 -1619.2 243.237 -1620.59 0.0 243.237 -1620.59 22.0063 -18.4623 -1373.8091 27.6843 27.6843
12 7 -5.608151 0.0 -18.2513 6.29048 -10.6428 243.255 -1619.2 242.836 -1617.7 0.0 242.836 -1617.7 22.223 -18.2513 -1370.8923 27.4891 27.4891
13 0 -6.3722296 0.0 -27.7485 6.26317 -10.8264 243.255 -1619.2 242.247 -1614.82 0.0 242.247 -1614.82 23.2946 -27.7485 -1377.0269 20.2627 20.2627
13 1 -5.705851 0.0 -18.5069 6.27354 -10.4725 243.255 -1619.2 242.799 -1618.7 0.0 242.799 -1618.7 22.1837 -18.5069 -1372.2242 24.3558 24.3558
14 0 -6.510075 0.0 -33.6742 6.37525 -11.0532 243.255 -1619.2 243.194 -1609.43 0.0 243.194 -1609.43 22.9912 -33.6742 -1376.9191 22.7349 22.7349
14 1 -6.510075 0.0 -33.6742 6.37525 -11.0532 243.255 -1619.2 243.194 -1609.43 0.0 243.194 -1609.43 22.9912 -33.6742 -1376.9191 22.7349 22.7349
14 2 -6.4088063 0.0 -31.7363 6.43253 -10.9978 243.255 -1619.2 243.513 -1611.12 0.0 243.513 -1611.12 23.6631 -31.7363 -1375.6802 23.8372 23.8372
14 3 -6.4088063 0.0 -31.7363 6.43253 -10.9978 243.255 -1619.2 243.513 -1611.12 0.0 243.513 -1611.12 23.6631 -31.7363 -1375.6802 23.8372 23.8372
14 4 -6.196486 0.0 -28.5652 6.36922 -10.8077 243.255 -1619.2 243.584 -1612.57 0.0 243.584 -1612.57 22.6499 -28.5652 -1374.9012 24.4539 24.4539
14 5 -6.196486 0.0 -28.5652 6.36922 -10.8077 243.255 -1619.2 243.584 -1612.57 0.0 243.584 -1612.57 22.6499 -28.5652 -1374.9012 24.4539 24.4539
14 6 -6.196486 0.0 -28.5652 6.36922 -10.8077 243.255 -1619.2 243.584 -1612.57 0.0 243.584 -1612.57 22.6499 -28.5652 -1374.9012 24.4539 24.4539
14 7 -6.196486 0.0 -28.5652 6.36922 -10.8077 243.255 -1619.2 243.584 -1612.57 0.0 243.584 -1612.57 22.6499 -28.5652 -1374.9012 24.4539 24.4539
15 0 -6.4079013 0.0 -30.2517 6.26345 -10.8525 243.255 -1619.2 242.157 -1611.42 0.0 242.157 -1611.42 22.6505 -30.2517 -1376.8643 18.0527 18.0527
15 1 -6.4075446 0.0 -30.2553 6.2635 -10.8524 243.255 -1619.2 242.158 -1611.41 0.0 242.158 -1611.41 22.6531 -30.2553 -1376.8542 18.0522 18.0522
15 2 -6.184814 0.0 -26.9306 6.29656 -10.8583 243.255 -1619.2 242.789 -1613.84 0.0 242.789 -1613.84 22.5086 -26.9306 -1375.4729 20.5903 20.5903
15 3 -6.0009136 0.0 -24.9464 6.28517 -10.9047 243.255 -1619.2 242.785 -1613.96 0.0 242.785 -1613.96 22.2361 -24.9464 -1373.8853 21.5779 21.5779
15 4 -6.010932 0.0 -25.1984 6.29776 -10.896 243.255 -1619.2 242.697 -1613.57 0.0 242.697 -1613.57 22.2644 -25.1984 -1373.8069 21.375 21.375
15 5 -6.010136 0.0 -24.9235 6.32887 -10.9125 243.255 -1619.2 242.975 -1614.38 0.0 242.975 -1614.38 22.568 -24.9235 -1373.7605 21.7435 21.7435
15 6 -5.7053 0.0 -20.8705 6.27069 -10.9331 243.255 -1619.2 243.095 -1615.96 0.0 243.095 -1615.96 23.1276 -20.8705 -1370.6079 25.541 25.541
16 0 -6.2014318 0.0 -24.9682 6.24201 -10.5362 243.255 -1619.2 242.765 -1616.87 0.0 242.765 -1616.87 22.2534 -24.9682 -1376.8198 21.6821 21.6821
16 1 -6.064682 0.0 -22.4114 6.21494 -10.3715 243.255 -1619.2 242.833 -1618.57 0.0 242.833 -1618.57 22.3409 -22.4114 -1375.8075 22.8073 22.8073
16 2 -6.0433407 0.0 -21.4719 6.20182 -10.7049 243.255 -1619.2 242.796 -1619.97 0.0 242.796 -1619.97 22.9652 -21.4719 -1375.6807 22.8323 22.8323
16 3 -6.114729 0.0 -23.8731 6.25215 -10.6559 243.255 -1619.2 243.069 -1617.72 0.0 243.069 -1617.72 23.0028 -23.8731 -1375.5214 22.4928 22.4928
16 4 -5.9531736 0.0 -20.8131 6.24249 -10.4281 243.255 -1619.2 243.019 -1619.52 0.0 243.019 -1619.52 22.2052 -20.8131 -1375.1089 23.2847 23.2847
16 5 -5.942845 0.0 -20.9602 6.22493 -10.7872 243.255 -1619.2 242.799 -1619.17 0.0 242.799 -1619.17 22.4976 -20.9602 -1374.8337 23.0385 23.0385
16 6 -5.9397044 0.0 -20.9356 6.22752 -10.7883 243.255 -1619.2 242.803 -1619.16 0.0 242.803 -1619.16 22.4717 -20.9356 -1374.8209 23.0327 23.0327
16 7 -5.937466 0.0 -20.9479 6.23081 -10.7881 243.255 -1619.2 242.81 -1619.11 0.0 242.81 -1619.11 22.4436 -20.9479 -1374.8042 23.0292 23.0292
