Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
15 3 -6.2785854 0.0 -36.3829 6.29695 -10.9034 243.255 -1619.2 241.362 -1598.6 0.0 241.362 -1598.6 23.2348 -36.3829 -1370.386 16.1314 16.1314
15 4 -6.4951186 0.0 -40.3286 6.47376 -10.971 243.255 -1619.2 241.334 -1595.79 0.0 241.334 -1595.79 25.8736 -40.3286 -1368.911 17.6725 17.6725
16 0 -6.36879 0.0 -30.8445 6.28995 -10.9525 243.255 -1619.2 242.284 -1610.12 0.0 242.284 -1610.12 22.8179 -30.8445 -1375.8625 20.1384 20.1384
16 1 -6.36879 0.0 -30.8445 6.28995 -10.9525 243.255 -1619.2 242.284 -1610.12 0.0 242.284 -1610.12 22.8179 -30.8445 -1375.8625 20.1384 20.1384
16 2 -6.36879 0.0 -30.8445 6.28995 -10.9525 243.255 -1619.2 242.284 -1610.12 0.0 242.284 -1610.12 22.8179 -30.8445 -1375.8625 20.1384 20.1384
16 3 -6.407069 0.0 -29.3241 6.22608 -11.0859 243.255 -1619.2 242.059 -1612.98 0.0 242.059 -1612.98 24.8619 -29.3241 -1375.3832 21.4695 21.4695
16 4 -6.407069 0.0 -29.3241 6.22608 -11.0859 243.255 -1619.2 242.059 -1612.98 0.0 242.059 -1612.98 24.8619 -29.3241 -1375.3832 21.4695 21.4695
16 5 -6.407069 0.0 -29.3241 6.22608 -11.0859 243.255 -1619.2 242.059 -1612.98 0.0 242.059 -1612.98 24.8619 -29.3241 -1375.3832 21.4695 21.4695
16 6 -6.407069 0.0 -29.3241 6.22608 -11.0859 243.255 -1619.2 242.059 -1612.98 0.0 242.059 -1612.98 24.8619 -29.3241 -1375.3832 21.4695 21.4695
16 7 -6.343925 0.0 -28.9068 6.23176 -11.0311 243.255 -1619.2 242.098 -1612.59 0.0 242.098 -1612.59 24.2124 -28.9068 -1375.1864 21.3543 21.3543
17 0 -5.9189124 0.0 -18.3503 6.28369 -10.5534 243.255 -1619.2 242.677 -1622.3 0.0 242.677 -1622.3 22.1518 -18.3503 -1375.8215 27.5888 27.5888
17 1 -5.9189124 0.0 -18.3503 6.28369 -10.5534 243.255 -1619.2 242.677 -1622.3 0.0 242.677 -1622.3 22.1518 -18.3503 -1375.8215 27.5888 27.5888
17 2 -5.918297 0.0 -18.3167 6.28821 -10.5517 243.255 -1619.2 242.662 -1622.31 0.0 242.662 -1622.31 22.1595 -18.3167 -1375.8053 27.5992 27.5992
17 3 -5.918297 0.0 -18.3167 6.28821 -10.5517 243.255 -1619.2 242.662 -1622.31 0.0 242.662 -1622.31 22.1595 -18.3167 -1375.8053 27.5992 27.5992
17 4 -5.918297 0.0 -18.3167 6.28821 -10.5517 243.255 -1619.2 242.662 -1622.31 0.0 242.662 -1622.31 22.1595 -18.3167 -1375.8053 27.5992 27.5992
17 5 -5.9101305 0.0 -18.3025 6.28306 -10.551 243.255 -1619.2 242.71 -1622.28 0.0 242.71 -1622.28 22.1133 -18.3025 -1375.7593 27.6174 27.6174
17 6 -5.9101305 0.0 -18.3025 6.28306 -10.551 243.255 -1619.2 242.71 -1622.28 0.0 242.71 -1622.28 22.1133 -18.3025 -1375.7593 27.6174 27.6174
17 7 -5.9101305 0.0 -18.3025 6.28306 -10.551 243.255 -1619.2 242.71 -1622.28 0.0 242.71 -1622.28 22.1133 -18.3025 -1375.7593 27.6174 27.6174
18 0 -6.044785 0.0 -23.2071 6.2854 -10.5555 243.255 -1619.2 243.26 -1617.75 0.0 243.26 -1617.75 22.0144 -23.2071 -1375.6827 22.4339 22.4339
18 1 -6.106176 0.0 -25.0005 6.31209 -10.6218 243.255 -1619.2 243.172 -1615.87 0.0 243.172 -1615.87 22.1607 -25.0005 -1375.5378 22.094 22.094
18 2 -6.13524 0.0 -25.9303 6.33039 -10.6649 243.255 -1619.2 243.151 -1614.89 0.0 243.151 -1614.89 22.3254 -25.9303 -1375.3439 22.0041 22.0041
18 3 -6.086624 0.0 -25.0572 6.32481 -10.6459 243.255 -1619.2 243.232 -1615.56 0.0 243.232 -1615.56 22.1656 -25.0572 -1375.2197 22.2561 22.2561
