TS,BOND,ANGLE,DIHED,IMPRP,ELECT,VDW,BOUNDARY,MISC,KINETIC,TOTAL,TEMP,POTENTIAL,TOTAL3,TEMPAVG,PRESSURE,GPRESSURE,VOLUME,PRESSAVG,GPRESSAVG
385000,12417.6832,68097.5056,45145.8833,640.7988,-1196183.4079,68539.2345,0.0000,0.0000,263598.6417,-737743.6609,302.7397,-1001342.3026,-736369.6625,302.3202,-54.6146,-54.9986,4061282.9119,0.9029,0.8935
390000,12321.9299,68385.5619,45147.6111,619.9687,-1196738.1999,68874.3705,0.0000,0.0000,263195.5123,-738193.2455,302.2767,-1001388.7578,-736810.5255,302.2804,18.6785,18.7894,4055042.8890,0.8164,0.8189
395000,12402.8868,68147.8293,45089.0701,606.6810,-1197162.4292,68987.8866,0.0000,0.0000,262897.5181,-739030.5574,301.9344,-1001928.0755,-737646.9159,302.2557,93.8719,92.8507,4051563.5508,0.9538,0.9444
400000,12266.5699,68256.3004,45137.3757,619.6332,-1195923.8018,68954.4907,0.0000,0.0000,262894.7307,-737794.7011,301.9312,-1000689.4318,-736411.3870,302.1916,57.7383,58.2297,4059085.9421,0.8982,0.8860
405000,12415.2436,67989.8367,45235.8350,600.2040,-1195886.1063,68877.0787,0.0000,0.0000,263641.1855,-737126.7228,302.7885,-1000767.9083,-735779.3954,302.4384,44.3224,45.7178,4055298.8420,0.5677,0.5654
410000,12527.1675,68377.3612,45249.6278,624.2889,-1196848.2602,69014.9251,0.0000,0.0000,263405.6418,-737649.2480,302.5180,-1001054.8898,-736275.0208,302.5482,-16.7053,-16.3574,4060282.3499,1.0619,1.0649
415000,12390.5017,68084.2279,45237.2487,611.7252,-1196197.7662,69023.7836,0.0000,0.0000,263358.2899,-737491.9892,302.4636,-1000850.2791,-736126.6568,302.6512,11.1135,10.4561,4056910.5165,1.2723,1.2779
420000,12552.1197,68359.5852,44991.6269,587.4299,-1196928.0672,68680.3122,0.0000,0.0000,262968.6985,-738788.2948,302.0162,-1001756.9933,-737423.1935,302.3656,-113.7421,-113.6773,4053272.7814,0.9757,0.9600
425000,12637.8531,67863.2737,45140.8316,591.0478,-1195401.3588,67709.4934,0.0000,0.0000,263751.7898,-737707.0695,302.9156,-1001458.8593,-736314.3846,302.4576,-142.9313,-140.4276,4054799.4913,0.7094,0.7043
430000,12343.2059,68155.0990,44969.1232,617.2817,-1196727.1119,68874.7640,0.0000,0.0000,263359.2389,-738408.3992,302.4647,-1001767.6381,-736997.0572,302.2953,92.9101,93.8086,4053382.3047,1.5305,1.5212
